scenario,year,B,C,I,E,sense,slack,horizon,h2prod,imports,system_cost,obj_bound_dual,h2price,h2value,co2seq,dac,captured_co2,elec_cap,elec_cf,total_onwind,total_offwind,total_solar,total_nuclear,total_h2_storage
1987abaa,1987,a,b,a,a,max,0.1,2035,32.89434989308585,1.1499431956078657e-06,1011114677159.7546,-15.00248858158532,0.9825153813446436,989606318.0973411,149999999.99523693,0.15419187856854727,306.4122252947339,249580.01897020638,0.812838892603589,771660.3298794054,552184.3307846263,1386710.371286762,40121.30004732958,2037887.3628828367
1987abaa,1987,a,b,a,a,min,0.02,2040,22.39731743993336,746.5025904452417,1100235314046.1624,-6.066496992366858,1.407953155523664,1002062355.9842277,249999999.98563808,34930730.06222101,338.6376056461589,185174.38954159705,0.7048097995770485,1115946.8441303242,470054.6435535082,1838683.3716847664,31807.90068440379,4668005.354212846
1987abaa,1987,a,b,a,a,max,0.02,2040,37.76113834772934,949.722831461506,1101728524327.2466,-27.017239686208335,2.5393081244598563,3021708618.895005,249999999.99438262,67508844.73340926,464.6903175417697,292144.8667903231,0.7644337930642556,918190.3663779772,545692.8284201355,1992112.2185143076,31807.900065141923,2814521.0772674936
1987abaa,1987,a,b,a,a,min,0.05,2040,20.534341176824324,684.384653728981,1129610109758.7446,-2.6343961707113053,0.9888852484667476,654106667.6861635,249999665.38079658,31237630.89443645,342.6463999952771,166312.57122475025,0.7191851760306065,1146417.0465838928,492573.0957647141,1983296.4343918576,31824.445008055027,4677500.354439408
1987abaa,1987,a,b,a,a,max,0.05,2040,49.15289997529347,512.6862503563221,1132729080390.4478,-25.26682808618917,2.346736544905274,3664485766.6929774,249999999.99293047,108275396.70374669,542.6010794689485,379667.29693430016,0.7702931218760195,965241.62782362,612288.8315904218,2277860.783992344,31807.900030010966,3535352.0757107898
1987abaa,1987,a,b,a,a,min,0.1,2040,19.120255182794132,637.2777534764251,1178208599005.2158,-0.7310459384255429,0.7677081602922659,485246963.9551933,250000010.96811613,797.712520233352,317.2836661667316,149644.32764885388,0.744249336720963,1120591.1575102592,508754.66142425034,2017805.1583227962,49458.633905755676,1560369.442245724
1987abaa,1987,a,b,a,a,max,0.1,2040,65.25605814010154,195.9869997469638,1184064214888.7175,-21.25402747325825,1.8292661935329744,3804824948.6339207,249999999.96333423,155078138.9714861,643.8731135057023,500826.06389864645,0.7786649363502431,1029011.1800468029,696457.8488002052,2623880.00363191,31807.90020548151,4371328.134899554
1987abaa,1987,a,b,a,a,min,0.02,2045,19.728912488368987,521.4921358887186,984854181438.7988,,91.15572890594326,56682193832.76149,400000000.0020822,120397016.45266823,491.9106074131912,185174.38371819712,0.620820622027224,1077239.477855131,467123.29744360317,1854356.5287060956,31807.901641421646,4665136.797631602
1987abaa,1987,a,b,a,a,max,0.02,2045,34.28061875982564,389.12217316167613,1003796730244.3234,-41.1980024500609,3.6971314662443673,3982592824.258854,399999999.8935132,161927080.58261046,583.1435505224615,292144.89311974804,0.6933907572618632,888143.0364624464,542566.6843266884,2176430.132217314,31807.904696582445,2930614.7146251975
1987abaa,1987,a,b,a,a,min,0.05,2045,19.100173323779376,421.50142856982626,1002529250985.6067,,91.76314565695984,56805697774.81154,400000000.00076085,114819285.76076835,488.64475186571366,166214.25029265127,0.6693512590374713,1099578.623563697,485721.47243421234,1994103.7756743347,31813.093059259143,4675503.789819339
